DIRECTORIO;CANT_HOG_COMPLETOS;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P1070;P4005;P4015;P4567;P8520;P8520S1;P8520S1A1;P8520S3;P8520S4;P8520S4A1;P8520S5;P4065;P4065S1;P4065S2;P4065S3;P4065S4;P5661;P5661S1;P5661S2;P5661S3;P5661S4;P5661S5;P5661S6;P5661S7;P5661S9;P1891;P1891S1;P1891S2;P1891S3;P1891S4;P1891S5;FEX_C;CLASE
6000000;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;1;4;1;1;4;1; ;2;2;1;2;2;2072,53670425594;1
6000001;1;1;1;1;1;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;3;3;2;2;3;2; ;1;1;1;1;1;2589,18565673161;1
6000002;1;1;1;1;2;1;6;3; ;1;1;1;1;3;1; ;1;2;2;2; ;2;3;2;2;2;3;4;3; ;1;1;1;1;1;2635,40802788961;1
6000003;1;1;1;1;2;1;6;3; ;1;1;1;1;3;1; ;1;2;2;2; ;2;3;3;3;2;3;4;3; ;1;1;1;1;1;2528,83048024168;1
6000005;1;1;1;1;2;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;1;2;1;4;2;1; ;1;2;1;2;2;2110,05029224325;1
6000006;1;1;1;1;2;1;4;3; ;1;1;1;1;3;1; ;1;2;2;2; ;3;3;4;4;4;3;4;4; ;1;2;1;2;2;1928,92903772154;1
6000008;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;4;3;3;3;2;4;2;2; ;1;1;1;1;1;1981,20103562288;1
6000009;1;1;1;1;1;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;4;1;1;1;1;2;1; ;1;1;1;2;2;2053,60291580025;1
6000010;1;1;1;1;1;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;4;4;4;1;1;4;1; ;1;1;2;2;2;2080,96003087228;1
6000011;1;1;1;1;1;1;4;1; ;1;3;1;1;2;1; ;2;2;2;2; ;4;1;1;2;1;4;2;1; ;2;1;2;2;2;2007,62134377632;1
6000012;1;1;1;1;1;1;4;3; ;1;3;1;1;3;1; ;2;2;2;2; ;3;2;1;3;1;3;4;1; ;2;2;2;2;2;1721,31655610553;1
6000013;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;3;1;1;1;2;1; ;2;2;2;2;2;1549,46606911964;1
6000015;1;1;1;1;1;1;4;3; ;1;3;1;1;3;1; ;2;2;2;2; ;1;1;1;3;1;1;1;1; ;2;2;2;2;2;2672,9161059034;1
6000016;1;1;1;1;1;1;4;1; ;1;3;1;1;3;1; ;2;2;2;2; ;1;2;2;1;2;2;3;1; ;2;2;2;2;2;1654,03527397947;1
6000017;1;1;1;1;1;1;4;3; ;1;3;1;1;3;1; ;2;2;2;2; ;4;1;1;1;1;1;2;1; ;2;2;2;2;2;1659,09951097118;1
6000019;1;1;1;1;2;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;2;1;1;1;1;1;1;1; ;2;1;2;1;2;2183,57317439331;1
6000020;1;1;1;1;2;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;3;1;1;1;1;1;4;1; ;1;2;2;2;2;1943,01400628213;1
6000021;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;4;1;4;1;1;1;2;1; ;1;2;1;2;2;2507,76463962907;1
6000032;1;1;1;1;2;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;2; ;2;2;2;2;2;1476,73072624905;1
6000033;1;1;1;1;2;1;6;1; ;1;2;1;1;3;1; ;2;2;2;2; ;2;1;1;2;1;1;1;1; ;2;2;2;2;2;1386,73377261771;1
6000034;1;1;1;1;1;1;4;4; ;1;2;1;1;2;1; ;2;2;2;2; ;1;1;2;2;1;2;1;1; ;2;2;2;2;2;897,238605631413;1
6000035;1;1;1;1;2;1;4;4; ;1;2;1;1;2;1; ;2;2;2;2; ;2;1;2;2;1;2;2;1; ;2;2;2;2;2;1032,50750267155;1
6000036;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;2;2;2;1; ;2;2;2;2;2;807,715132038827;1
6000037;1;1;1;1;2;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;2;1;1;2;1;2;2;1; ;2;2;2;2;2;386,240766006746;1
